"['kirkpatrick', 'wear', 'baseball', 'cap', 'embroider', 'barack', 'obama', 'signature', 'hangdog', 'look', 'jason', 'segel', 'courier', 'journal']",0.0
"['obama', 'debate', 'cracker', 'ass', 'cracker', 'tonight', 'tune']",1.0
"['miss', 'point', 'afraid', 'not', 'understand', 'bigger', 'picture', 'not', 'obama', 'elect']",0.0
"['raise', 'democrat', 'leave', 'party', 'years', 'ago', 'lifetime', 'never', 'see', 'president', 'divide', 'country', 'like', 'obama']",-1.0
"['obama', 'camp', 'not', 'afford', 'lower', 'expectations', 'tonight', 'debate', 'president', 'must', 'give', 'strong', 'performance']",0.0
"['obama', 'policy', 'disappoint', 'say', 'least', 'via']",-1.0
"['not', 'hollywood', 'back', 'gene', 'simmons', 'yank', 'obama', 'support', 'call', 'piss', 'poor', 'president']",-1.0
"['obama', 'expedient', 'speak', 'fair', 'order', 'slenderize', 'biscuit', 'taiwan', 'tensions']",0.0
"['dream', 'smoke', 'obama']",0.0
"['washington', 'time', 'president', 'popularity', 'bubble', 'burst', 'barack', 'obama', 'fox', 'nation']",-1.0
"['obama', 'priorities', 'gaydar', 'research', 'not', 'security', 'embassy', 'libya']",-1.0
"['unite', 'state', 'islam', 'obama', 'really', 'think', 'weirdo']",-1.0
"['create', 'debt', 'plame', 'obama', 'hand', 'money', 'billionaires', 'two', 'war', 'brake', 'own']",-1.0
"['obama', 'not', 'keep', 'one', 'promise', 'town', 'hall', 'debate', 'believe', 'tonight']",-1.0
"['talk', 'shit', 'obama']",0.0
['obama'],0.0
"['go', 'ideas', 'hurt', 'obama', 'america', 'elect', 'blk', 'pres', 'youhave', 'show', 'whole', 'hand', 'dumbass']",0.0
"['still', 'idol', 'mr', 'president', 'obama']",1.0
"['pretty', 'creepy', 'wonder', 'obama', 'always', 'starbursts', 'pocket', 'equally', 'realistic', 'theories']",0.0
"['saw', 'truck', 'nasa', 'sticker', 'obama', 'sticker', 'new', 'bff']",0.0
"['debate', 'tonight', 'hope', 'obama', 'bring', 'lot', 'energy', 'tonight', 'debate', 'crucial']",0.0
"['say', 'much', 'good', 'things', 'obama', 'small', 'business', 'owner', 'pick']",1.0
"['hillary', 'take', 'spaken', 'obama', 'ignorance', 'attaboy', 'obama', 'blind', 'people', 'back', 'better', 'spineless']",-1.0
"['south', 'african', 'say', 'obama', 'best', 'thing', 'happen', 'america']",1.0
"['smart', 'women', 'know', 'obama', 'say', 'policies', 'would', 'cause', 'energy', 'price', 'skyrocket', 'mean']",-1.0
"['tonight', 'obama', 'focus', 'forceful', 'leave', 'voters', 'wonder', 'not', 'know', 'first', 'debate']",0.0
"['obama', 'may', 'need', 'grind', 'game', 'backers', 'follow', 'elex', 'closely', 'compare']",0.0
"['remember', 'obama', 'first', 'get', 'elect', 'niggas', 'act', 'like', 'second', 'come', 'jesus']",0.0
"['obama', 'work', 'next']",0.0
"['pretty', 'much', 'obama', 'lose', 'tonight', 'expect', 'madness', 'meltdown', 'breach', 'containment']",0.0
"['obama', 'win', 'wanna', 'move', 'new', 'york']",0.0
"['hear', 'obama', 'say', 'nigga', 'please']",0.0
"['barack', 'obama', 'quietly', 'give', 'control', 'communication', 'systems', 'america']",-1.0
"['last', 'kid', 'vote', 'johnson', 'would', 'bk', 'obama', 'make', 'sense', 'oh', 'god', 'could', 'scream']",0.0
"['thanksgiving', 'obama', 'turkey', 'google', 'omg', 'thats', 'wrong']",0.0
"['okay', 'obama', 'time', 'put', 'game', 'get', 'shit', 'do']",1.0
"['actually', 'begin', 'feel', 'sorry', 'obama', 'never', 'mind', 'pass', 'like', 'smelly', 'gas']",-1.0
"['agree', 'not', 'afford', 'years', 'obama']",-1.0
"['feel', 'thee', 'next', 'indie', 'pres', 'use', 'time', 'next', 'term', 'obm', 'fuck', 'obama', 'world', 'step']",0.0
"['anyone', 'see', 'obama', 'oh', 'hide', 'behind', 'hillary', 'hillary', 'never', 'see', 'fantasy']",-1.0
"['cdn', 'muppets', 'denounce', 'democrats', 'call', 'obama', 'puppet', 'ahead', 'democrat', 'organize']",-1.0
"['new', 'intelligence', 'syrian', 'rebel', 'number', 'win', 'obama', 'not', 'either']",-1.0
"['gov', 'gary', 'johnson', 'pull', 'vote', 'waste', 'vote', 'obama', 'must', 'go']",-1.0
"['bob', 'beckel', 'obama', 'create', 'mil', 'job', 'mil', 'people', 'without', 'job', 'january', 'kid', 'bob']",0.0
"['obama', 'sustain', 'efforts', 'claim', 'not', 'responsible', 'anything', 'belong', 'letter', 'resignation', 'not', 'election', 'campaign']",-1.0
"['reporter', 'aware', 'michelle', 'vote', 'yesterday', 'obama', 'thank', 'goodness']",0.0
"['obama', 'debate', 'around', 'corner', 'gaf', 'security', 'crazy']",0.0
"['obama', 'remind', 'kid', 'one', 'ego']",-1.0
"['obama', 'walk', 'short', 'debate', 'prep', 'session', 'morning', 'advisers', 'anita', 'dunn', 'david', 'plouffe', 'tell', 'reporters', 'feel', 'fabulous']",0.0
